Feature,P-value_linear,Pente_linear,R2_linear,F-statistic_linear,Confidence_interval_linear,P-value_quadratic,Pente_quadratic,R2_quadratic,F-statistic_quadratic,Confidence_interval_quadratic,P-value_cubic,Pente_cubic,R2_cubic,F-statistic_cubic,Type
M450T1437,0.00001,0.00001,0.75884,9.70192,"[3.2457949043955145e-06, 7.579868749958517e-06]",0.33639,0.00000,0.76503,9.01637,"[-5.000022354931165e-10, 1.4246265291200487e-09]",0.74240,-0.00000,0.76577,8.17314,Produit
M451T1169,0.15050,0.00000,0.43747,2.39786,"[-1.188981523005056e-06, 7.44569017462609e-06]",0.62442,0.00000,0.44126,2.18694,"[-1.4644103458104117e-09, 2.4071177730694092e-09]",0.13531,-0.00000,0.47623,2.27309,Non classé
M451T2808,0.89894,0.00000,0.64585,5.62304,"[-1.7810930241519977e-05, 2.0210556221275213e-05]",0.83428,-0.00000,0.64629,5.05986,"[-9.435560271485512e-09, 7.659239486806967e-09]",0.13915,0.00000,0.66802,5.03048,Non classé
M451T1410,0.00000,-0.00005,0.77984,10.92184,"[-6.211697408608023e-05, -3.836506500672632e-05]",0.00129,0.00000,0.83551,14.06615,"[3.330029390204716e-09, 1.256644333250858e-08]",0.45642,0.00000,0.83813,12.94490,"Substrat,Transitoire"
M451T3079,0.00000,-0.00001,0.62939,5.23621,"[-1.8178138638686192e-05, -8.878037068082748e-06]",0.00026,0.00000,0.74535,8.10541,"[1.7278725762984773e-09, 5.19605559956373e-09]",0.74013,0.00000,0.74616,7.34873,"Substrat,Transitoire"
M451T2962,0.00000,0.00001,0.60416,4.70599,"[6.435400191428122e-06, 1.426022751978836e-05]",0.91553,-0.00000,0.60428,4.22880,"[-1.852543973816457e-09, 1.6671799870373238e-09]",0.45381,-0.00000,0.61067,3.92125,Produit
M452T1171,0.00049,0.00001,0.74851,9.17691,"[3.78660598852007e-06, 1.2322521951454749e-05]",0.07296,0.00000,0.77028,9.28562,"[-1.6376024078199535e-10, 3.5064485130516866e-09]",0.10460,-0.00000,0.78716,9.24607,Produit
M452T1477,0.23338,0.00000,0.51434,3.26544,"[-1.2919239853428552e-06, 5.134286470839519e-06]",0.00009,0.00000,0.68532,6.03090,"[1.3738531233977869e-09, 3.701018201741205e-09]",0.98825,0.00000,0.68532,5.44461,Transitoire
M452T2401,0.00010,0.00001,0.54323,3.66703,"[4.582260736176268e-06, 1.2491472874482567e-05]",0.04607,0.00000,0.59165,4.01236,"[3.152210962793168e-11, 3.395886145168966e-09]",0.58821,0.00000,0.59511,3.67451,"Produit,Transitoire"
M452T2808,0.16706,0.00000,0.70852,7.49485,"[-1.39858227717954e-06, 7.790700686885586e-06]",0.18042,0.00000,0.72288,7.22376,"[-6.580024326201925e-10, 3.372984606938013e-09]",0.12387,0.00000,0.74126,7.16220,Non classé
M452T1409,0.00048,-0.00001,0.59434,4.51742,"[-1.534580944645592e-05, -4.725477468776118e-06]",0.00136,0.00000,0.69613,6.34399,"[1.4727435337642002e-09, 5.6079994789719855e-09]",0.98100,0.00000,0.69614,5.72735,"Substrat,Transitoire"
M453T1169,0.00223,0.00001,0.61130,4.84904,"[2.188002371637976e-06, 9.223896278628976e-06]",0.00016,0.00000,0.73945,7.85907,"[1.3926932072767915e-09, 3.9842513947477904e-09]",0.92716,-0.00000,0.73951,7.09732,"Produit,Transitoire"
M453T2525,0.00000,0.00001,0.93250,42.59620,"[8.723664211400678e-06, 1.7040806704171145e-05]",0.00049,0.00000,0.95207,55.01213,"[1.4040566455138728e-09, 4.5569773436133e-09]",0.46904,0.00000,0.95280,50.46231,"Produit,Transitoire"
M454T1170,0.04302,0.00001,0.40158,2.06909,"[3.318998477205736e-07, 1.9724037250557507e-05]",0.28241,-0.00000,0.42074,2.01138,"[-6.600956349403232e-09, 1.982489202802341e-09]",0.67774,-0.00000,0.42363,1.83748,Produit
M455T2721,0.00000,0.00006,0.88508,23.74789,"[4.6595813220081576e-05, 7.634255309186912e-05]",0.44070,0.00000,0.88699,21.73555,"[-4.08470197072397e-09, 9.18637649148157e-09]",0.86809,0.00000,0.88708,19.64006,Produit
M455T2485,0.00000,0.00003,0.74210,8.87226,"[2.3099933970432708e-05, 4.190530475626307e-05]",0.03402,0.00000,0.77276,9.41711,"[3.441094650900795e-10, 8.285613850146852e-09]",0.66026,-0.00000,0.77403,8.56333,"Produit,Transitoire"
M456T2721,0.00000,0.00001,0.73228,8.43384,"[8.482395457554521e-06, 1.8472189435322767e-05]",0.09540,0.00000,0.75245,8.41736,"[-3.362005250033324e-10, 3.985478496158376e-09]",0.56084,-0.00000,0.75487,7.69850,Produit
M457T1392,0.01052,0.00000,0.77935,10.89077,"[1.1475662166345413e-06, 8.097604103041151e-06]",0.00144,0.00000,0.83420,13.93265,"[9.506504478618417e-10, 3.66108207303423e-09]",0.20783,-0.00000,0.84165,13.28752,"Produit,Transitoire"
M457T3018,0.69469,-0.00000,0.81132,13.25803,"[-3.350859205847675e-06, 2.2562052016532723e-06]",0.65183,-0.00000,0.81240,11.99182,"[-1.5398190268305377e-09, 9.75499363036807e-10]",0.34786,-0.00000,0.81713,11.17067,Non classé
M457T1582,0.00007,0.00001,0.76503,10.03880,"[6.034131227720747e-06, 1.600658267047958e-05]",0.14286,-0.00000,0.77881,9.75074,"[-3.783967199381766e-09, 5.68891418432464e-10]",0.16084,-0.00000,0.79107,9.46553,Produit
M457T2485,0.00000,0.00001,0.72516,8.13534,"[7.042025508457721e-06, 1.5360864470308853e-05]",0.09782,0.00000,0.74558,8.11512,"[-2.915733780180792e-10, 3.3092704602107963e-09]",0.70586,-0.00000,0.74663,7.36680,Produit
M457T1204,0.00000,0.00001,0.77538,10.64370,"[6.648980095333679e-06, 1.4040799581317028e-05]",0.00324,0.00000,0.82403,12.96728,"[8.174212835345034e-10, 3.760876817902873e-09]",0.59224,0.00000,0.82548,11.82517,"Produit,Transitoire"
M457T1032,0.00000,0.00002,0.81870,13.92302,"[1.3655725766033908e-05, 2.2592355965682047e-05]",0.00354,0.00000,0.85732,16.63890,"[9.615071564546765e-10, 4.528149243273692e-09]",0.97832,-0.00000,0.85732,15.02160,"Produit,Transitoire"
M458T1032,0.00061,0.00000,0.70353,7.31676,"[2.290636247783283e-06, 7.686894214971139e-06]",0.00374,0.00000,0.76603,9.06638,"[5.704515058301909e-10, 2.727142753033276e-09]",0.89090,0.00000,0.76615,8.19076,"Produit,Transitoire"
M459T1173,0.00043,0.00001,0.73633,8.61036,"[2.923148151563542e-06, 9.36764982683822e-06]",0.19227,0.00000,0.74865,8.24836,"[-4.879974566813586e-10, 2.3427033203057426e-09]",0.99103,0.00000,0.74865,7.44647,Produit
M460T1476,0.02898,0.00000,0.61500,4.92540,"[3.0677365483707195e-07, 5.359519875764756e-06]",0.00187,0.00000,0.70681,6.67607,"[6.501836536932897e-10, 2.633872347436277e-09]",0.91994,-0.00000,0.70690,6.02951,"Produit,Transitoire"
M461T1859,0.00000,0.00001,0.91009,31.21127,"[9.776270342088252e-06, 1.885521575867784e-05]",0.01852,0.00000,0.92309,33.23887,"[4.0875813106587215e-10, 4.186394924244393e-09]",0.98030,-0.00000,0.92310,30.00788,"Produit,Transitoire"
M461T1542,0.00000,0.00003,0.79312,11.82061,"[1.962401786748944e-05, 3.484132127351702e-05]",0.28854,0.00000,0.79958,11.04791,"[-1.579606510050848e-09, 5.158706607144085e-09]",0.24566,-0.00000,0.80726,10.47069,Produit
M461T1698,0.00001,0.00001,0.97197,106.91650,"[6.18470787179025e-06, 1.395692639103482e-05]",0.05569,0.00000,0.97472,106.75558,"[-4.1478704325770114e-11, 3.2794285807161345e-09]",0.94810,0.00000,0.97472,96.38870,Produit
M461T1919,0.00673,0.00001,0.80613,12.82060,"[1.5993136965616208e-06, 9.27172544150262e-06]",0.01999,0.00000,0.83354,13.86643,"[3.2058481542935325e-10, 3.519009263287928e-09]",0.33178,0.00000,0.83802,12.93393,"Produit,Transitoire"
M462T1542,0.00006,0.00001,0.62523,5.14387,"[4.727114489465353e-06, 1.2329990684463223e-05]",0.05375,0.00000,0.66251,5.43612,"[-2.711579878360931e-11, 3.2187266043370265e-09]",0.95039,-0.00000,0.66255,4.90844,Produit
M462T1859,0.00610,0.00001,0.66738,6.18648,"[1.5337621610948087e-06, 8.57482488812644e-06]",0.00795,0.00000,0.72723,7.38311,"[5.533865254464141e-10, 3.4219379476374233e-09]",0.56173,0.00000,0.72988,6.75519,"Produit,Transitoire"
M462T1698,0.01126,0.00000,0.79525,11.97541,"[1.0498423099855645e-06, 7.679593328873104e-06]",0.00478,0.00000,0.83637,14.15464,"[6.441246335211302e-10, 3.3104534704252195e-09]",0.86791,0.00000,0.83650,12.79075,"Produit,Transitoire"
