Feature,P-value_linear,Pente_linear,R2_linear,F-statistic_linear,Confidence_interval_linear,P-value_quadratic,Pente_quadratic,R2_quadratic,F-statistic_quadratic,Confidence_interval_quadratic,P-value_cubic,Pente_cubic,R2_cubic,F-statistic_cubic,Type
M163T1583,0.61535,-0.08279,0.99981,15965.23609,"[-0.4138486498010895, 0.24826228838561304]",0.07600,-4.66853,0.99982,15668.62278,"[-9.850862194324009, 0.5138056703576765]",0.33183,55.02582,0.99983,14536.73180,Non classé
M163T1397,0.97598,-0.00423,0.99981,15855.57653,"[-0.2873369647666192, 0.27886752882332544]",0.85498,0.67585,0.99981,14253.75922,"[-6.769927977846775, 8.121621971668944]",0.04987,193.12954,0.99983,14385.33109,Recyclé
M164T1542,0.54898,0.08535,0.99981,16011.97615,"[-0.20056962549293356, 0.37126769915045965]",0.04769,-9.22883,0.99983,16060.01428,"[-18.358747145516123, -0.09892161238120067]",0.87660,-25.59103,0.99983,14508.76174,Non classé
M167T2886,0.17239,-0.04875,0.99982,16685.03340,"[-0.1197368436278002, 0.02223744088633449]",0.35487,0.08476,0.99982,15351.04510,"[-0.09864657377438107, 0.2681644310305628]",0.99104,-0.00383,0.99982,13858.63299,Non classé
M167T3019,0.08664,-0.09880,0.99982,17183.09757,"[-0.21253559377426817, 0.014931486567995325]",0.05631,0.79576,0.99984,17100.31673,"[-0.02255700474826683, 1.614078005339396]",0.03647,-8.23982,0.99986,17524.83767,Non classé
M168T2886,0.65392,-0.06952,0.99981,15942.74076,"[-0.3811681352361356, 0.24212948097768794]",0.47506,2.11500,0.99981,14525.91237,"[-3.8274388376044, 8.057429669066348]",0.27303,73.71188,0.99982,13578.41165,Non classé
M168T3018,0.38051,0.14043,0.99981,16192.81666,"[-0.1801575439293836, 0.46101990509097485]",0.49042,-3.21876,0.99981,14739.40235,"[-12.587591621203362, 6.150074507207851]",0.20130,201.43025,0.99982,13951.35317,Non classé
M169T2482,0.01122,-0.08211,0.99984,18908.74618,"[-0.14444015126284546, -0.019779508137159146]",0.27250,0.05692,0.99984,17568.40081,"[-0.04667412435428474, 0.16052142072311448]",0.22956,0.18349,0.99985,16538.07911,Substrat
M170T2482,0.95513,-0.00707,0.99981,15856.55804,"[-0.25981420136485534, 0.2456823751593772]",0.64696,-1.09309,0.99981,14325.63531,"[-5.8929948680103275, 3.7068106557440155]",0.40280,63.94667,0.99981,13197.95016,Non classé
M172T1073,0.78582,0.04173,0.99981,15887.29633,"[-0.26717520243730103, 0.35063810304308113]",0.43417,-3.46688,0.99981,14516.83237,"[-12.35670454709075, 5.422941204673172]",0.18642,212.45364,0.99982,13785.69433,Non classé
M173T1583,0.02184,-0.06939,0.99983,18311.92129,"[-0.12810767369708753, -0.010664085100440965]",0.71350,0.03543,0.99983,16509.04108,"[-0.1587581466680783, 0.22962685962237273]",0.00194,0.66228,0.99987,19689.43448,"Substrat,Recyclé"
M173T1394,0.60985,0.04933,0.99981,15968.71090,"[-0.14487237844480796, 0.243528544022961]",0.69323,0.20263,0.99981,14404.97042,"[-0.830810652316117, 1.2360735008243073]",0.83103,1.29525,0.99981,13021.66200,Non classé
M173T1170,0.87395,-0.02840,0.99981,15866.12080,"[-0.3885939940429587, 0.33179652902425716]",0.70141,-2.01754,0.99981,14308.96068,"[-12.604417976323518, 8.569343171270333]",0.47603,-114.29099,0.99981,13109.42267,Non classé
M173T1240,0.11723,-0.15435,0.99982,16957.83237,"[-0.3493391536880006, 0.04063324628092066]",0.83357,-0.19654,0.99982,15249.27541,"[-2.0798368825846154, 1.6867473361822294]",0.89768,-2.19113,0.99982,13773.30747,Non classé
M174T1583,0.51503,-0.12130,0.99981,16040.37912,"[-0.4952088930116425, 0.25260321123081764]",0.88526,0.76417,0.99981,14414.78138,"[-9.900090242818521, 11.428430303503177]",0.43006,-191.60706,0.99981,13250.35643,Non classé
M175T972,0.41421,0.11868,0.99981,16147.46580,"[-0.172513405175991, 0.40987163286371964]",0.10049,2.97958,0.99982,15647.53351,"[-0.6050704919429064, 6.564228860131176]",0.11967,-67.08875,0.99984,15153.43470,Non classé
