Feature,P-value_linear,Pente_linear,R2_linear,F-statistic_linear,Confidence_interval_linear,P-value_quadratic,Pente_quadratic,R2_quadratic,F-statistic_quadratic,Confidence_interval_quadratic,P-value_cubic,Pente_cubic,R2_cubic,F-statistic_cubic,Type
M321T1922,0.00014,14.25903,0.94906,22.86635,"[7.6742780884358, 20.8437794690662]",0.00504,111.57798,0.96257,29.07225,"[36.70968324693449, 186.4462821840612]",0.14836,-1531.28146,0.96563,29.26556,"Produit,Transitoire"
M323T733,0.05678,7.32027,0.92310,14.73202,"[-0.22651743152683324, 14.867067364698435]",0.00003,198.83796,0.96091,27.78820,"[117.33621010648642, 280.3397014868582]",0.06969,1395.78830,0.96582,29.43456,Transitoire
M323T561,0.06419,10.90983,0.92251,14.60999,"[-0.6895594357503896, 22.50921538324014]",0.04024,175.37835,0.93429,16.07287,"[8.418091351892343, 342.33860428475907]",0.19632,-3126.35023,0.93862,15.92828,Transitoire
M323T809,0.72155,2.10876,0.91224,12.75709,"[-9.90590858950831, 14.123427977987664]",0.32025,117.71012,0.91557,12.25918,"[-121.06890912351096, 356.4891412391162]",0.82605,-691.31445,0.91574,11.32086,Non classé
M323T1090,0.18964,7.84316,0.91736,13.62348,"[-4.116889091308325, 19.803213142424184]",0.03543,201.09810,0.93052,15.13877,"[14.803087449278507, 387.393104328602]",0.89424,-356.51587,0.93057,13.96080,Transitoire
M325T1541,0.00116,-1.29238,0.94075,19.48675,"[-2.022653128252956, -0.5621025054763785]",0.85820,0.27746,0.94083,17.97304,"[-2.883213665834381, 3.438143127721095]",0.41269,2.61048,0.94242,17.05038,Substrat
M325T1145,0.10759,-1.22990,0.92002,14.11825,"[-2.7460455738475154, 0.28625441563816834]",0.35751,5.26924,0.92264,13.48129,"[-6.293255132171534, 16.83174334301682]",0.73335,11.75308,0.92300,12.48658,Non classé
M325T1300,0.03847,8.45835,0.92498,15.13107,"[0.48287356997060993, 16.433824675004008]",0.00129,147.55152,0.95000,21.47783,"[63.47057190881564, 231.63247757635986]",0.07391,735.14258,0.95611,22.69075,"Produit,Transitoire"
M325T1460,0.11094,7.23497,0.91988,14.09021,"[-1.7727985276879794, 16.242741017030642]",0.73200,-19.41900,0.92025,13.04345,"[-134.72913787824487, 95.89114039940132]",0.01453,-3942.83029,0.93749,15.62236,Non classé
M325T1201,0.97672,-0.07868,0.91182,12.69068,"[-5.560474475437759, 5.403121939477111]",0.72177,-4.23001,0.91226,11.75322,"[-28.383475050971917, 19.92346223955579]",0.44555,35.62036,0.91432,11.11559,Non classé
M326T1541,0.00083,-9.10484,0.94213,19.97891,"[-14.072913669282343, -4.136762159838551]",0.00706,-161.07865,0.95646,24.82997,"[-274.27633571836213, -47.88095720337367]",0.03557,2047.28579,0.96364,27.60418,"Substrat,Recyclé"
M326T1145,0.02683,-11.54082,0.92670,15.51658,"[-21.653453279052478, -1.428179137167069]",0.72116,-55.73454,0.92707,14.36946,"[-373.25635630907504, 261.78728575037724]",0.29320,10762.34102,0.93028,13.89975,Substrat
M327T1541,0.00036,-4.35595,0.94541,21.25437,"[-6.548661048823668, -2.1632393006761497]",0.28418,-11.81738,0.94781,20.52976,"[-34.03009196027887, 10.395326709224058]",0.28158,88.55267,0.95022,19.88461,Substrat
M327T1145,0.02401,-5.68170,0.92723,15.63820,"[-10.556514775082924, -0.8068922357767168]",0.50826,-30.61072,0.92847,14.67313,"[-124.41017136354753, 63.18873690596188]",0.51285,-862.35319,0.92971,13.77764,Substrat
M327T996,0.37892,3.00094,0.91436,13.10275,"[-3.8820700558981365, 9.883956166065012]",0.91558,3.76980,0.91439,12.07469,"[-68.62051268247399, 76.16011597724656]",0.02093,-1163.65720,0.93113,14.08352,Non classé
M328T1541,0.04743,-10.97247,0.92397,14.91417,"[-21.811337438492725, -0.13360018148910058]",0.66397,71.57124,0.92453,13.84779,"[-263.21043406662454, 406.3529105604837]",0.05431,13867.34791,0.93511,15.01130,Substrat
M328T995,0.67003,-2.60251,0.91242,12.78590,"[-14.997599651272887, 9.792576760203632]",0.46076,99.76825,0.91427,12.05531,"[-174.14191746449148, 373.67842243081395]",0.85176,771.68009,0.91439,11.12599,Non classé
M329T1281,0.27755,5.97779,0.91565,13.32328,"[-5.090048424660322, 17.045622048246905]",0.71594,-32.92510,0.91609,12.34177,"[-216.89405770248388, 151.04385480185513]",0.00042,-5759.29275,0.94945,19.56595,Non classé
