Feature,P-value_linear,Pente_linear,R2_linear,F-statistic_linear,Confidence_interval_linear,P-value_quadratic,Pente_quadratic,R2_quadratic,F-statistic_quadratic,Confidence_interval_quadratic,P-value_cubic,Pente_cubic,R2_cubic,F-statistic_cubic,Type
M423T2401,0.58491,0.07258,0.99981,14917.93312,"[-0.19448490504231775, 0.3396512070900056]",0.97323,0.08318,0.99981,13468.01805,"[-4.913383123397742, 5.079735786751853]",0.26587,57.18392,0.99982,12670.68792,Non classé
M425T1541,0.22453,0.14854,0.99982,15420.76960,"[-0.09522868487065339, 0.3923165450598207]",0.49029,-3.42630,0.99982,14114.89854,"[-13.403235324924356, 6.550644135596233]",0.69097,40.33500,0.99982,12858.02684,Non classé
M425T1410,0.75349,0.00436,0.99981,14834.22395,"[-0.023560268052973926, 0.03227176612954227]",0.00676,-0.04143,0.99985,16564.04565,"[-0.07064960076338458, -0.012216715441931005]",0.62612,-0.02040,0.99985,15124.85450,Non classé
M425T999,0.00007,0.13503,0.99988,23134.85261,"[0.07424086920643767, 0.19580968791110587]",0.93986,-0.01543,0.99988,20889.07687,"[-0.42772418106592325, 0.3968595958685791]",0.01367,-6.57697,0.99990,22707.50386,Produit
M425T1583,0.65141,-0.06061,0.99981,14878.38227,"[-0.3304059582610057, 0.20918704060249227]",0.74210,0.77799,0.99981,13474.10356,"[-3.9836049409215617, 5.5395790353283685]",0.07236,102.97121,0.99983,13452.42767,Non classé
M426T1410,0.81347,0.01235,0.99981,14816.28858,"[-0.09306149506062064, 0.11777118325494582]",0.00606,-0.72111,0.99985,16638.57195,"[-1.2221736452896912, -0.22004340617934626]",0.90219,0.34818,0.99985,15092.44104,Non classé
M427T1574,0.11826,-0.18921,0.99983,15845.68760,"[-0.4289896920551968, 0.05057094732884321]",0.88219,0.16676,0.99983,14314.24394,"[-2.1011072609140697, 2.4346266526881877]",0.78480,-2.83840,0.99983,13007.16834,Non classé
M427T1421,0.38788,0.06948,0.99982,15107.05679,"[-0.09173905354655373, 0.23070298072253856]",0.71155,-0.10236,0.99982,13692.47970,"[-0.6597892878329317, 0.4550646023533056]",0.48064,1.27047,0.99982,12600.23185,Non classé
M428T1574,0.61507,-0.08565,0.99981,14898.81773,"[-0.42811193553553756, 0.25680630134819643]",0.17480,5.69297,0.99982,14187.68706,"[-2.651318343028068, 14.03725977843729]",0.73885,63.63306,0.99982,12906.25295,Non classé
M428T1422,0.98825,-0.00188,0.99981,14793.15845,"[-0.25948498996714586, 0.2557176042102982]",0.65178,1.15334,0.99981,13434.01325,"[-3.990359762550672, 6.297046133644355]",0.39240,47.79660,0.99982,12449.06566,Non classé
M429T2961,0.72432,0.02906,0.99981,14844.99794,"[-0.13674509341104726, 0.19486579751618474]",0.00244,1.11708,0.99986,17487.00119,"[0.42272572719335577, 1.8114262794244562]",0.78261,-1.08876,0.99986,15890.95599,Transitoire
M429T3070,0.31832,-0.18772,0.99982,15213.93376,"[-0.5639392358963091, 0.18850176577769506]",0.22536,6.33366,0.99983,14332.64772,"[-4.08461205574204, 16.75192803531631]",0.03879,513.97486,0.99985,14761.28399,Recyclé
