Feature,P-value_linear,Pente_linear,R2_linear,F-statistic_linear,Confidence_interval_linear,P-value_quadratic,Pente_quadratic,R2_quadratic,F-statistic_quadratic,Confidence_interval_quadratic,P-value_cubic,Pente_cubic,R2_cubic,F-statistic_cubic,Type
M684T1411,0.01151,-4313.37354,0.99810,593.25661,"[-7574.252460070245, -1052.4946223440857]",0.02020,-68440.77561,0.99847,681.49756,"[-125261.00926046912, -11620.541967976947]",0.12870,2096778.93183,0.99862,692.95967,Substrat
M685T1199,0.92883,221.35766,0.99756,461.80983,"[-4824.132307371703, 5266.847627024457]",0.17492,100042.19620,0.99773,458.81141,"[-47525.13043201898, 247609.5228410377]",0.02843,-4474160.24000,0.99815,518.85848,Non classé
M687T2887,0.24978,-1758.25024,0.99768,486.33207,"[-4828.360979906241, 1311.860508752573]",0.01166,48907.83693,0.99821,581.22462,"[11896.836604838507, 85918.83725570465]",0.87428,-75125.93262,0.99821,536.22847,Transitoire
M688T2886,0.28453,-2160.28269,0.99766,482.91917,"[-6223.974895504625, 1903.4095194390925]",0.13975,37366.95664,0.99786,486.50462,"[-13089.13393352271, 87823.04721192305]",0.56980,533532.37502,0.99789,454.57998,Non classé
M689T2882,0.12537,-1809.86793,0.99777,506.30480,"[-4159.055312174762, 539.3194517470952]",0.19456,26959.43852,0.99792,499.77951,"[-14694.91703397996, 68613.79408223194]",0.97587,14668.11146,0.99792,460.61476,Non classé
M691T1410,0.00117,-4942.99554,0.99838,698.02510,"[-7731.265308297745, -2154.725769634515]",0.00186,-42136.13634,0.99891,955.06475,"[-67082.57362640026, -17189.699044218894]",0.22216,374137.76612,0.99898,937.85850,Substrat
M693T2887,0.63260,-707.55017,0.99758,465.83079,"[-3713.9279964963544, 2298.8276645237756]",0.45118,13264.84537,0.99763,439.33515,"[-22426.867255508718, 48956.558005016814]",0.11266,846177.73405,0.99787,450.74345,Non classé
M695T1807,0.00017,-4315.71267,0.99859,803.39428,"[-6340.330514749835, -2291.094819389932]",0.02824,-19528.13203,0.99885,901.14269,"[-36797.68278319168, -2258.581277850746]",0.18003,195801.74511,0.99893,896.55637,Substrat
M697T2887,0.37382,-1197.64123,0.99763,476.24103,"[-3918.0848245551324, 1522.8023702559994]",0.77843,4584.32151,0.99764,440.26733,"[-28610.93695414099, 37779.579983906915]",0.77185,99819.52710,0.99765,407.20776,Non classé
M697T1401,0.04474,-1833.74904,0.99791,540.82693,"[-3621.115043699463, -46.38303219666682]",0.01903,12991.92656,0.99833,623.93022,"[2319.796063272719, 23664.05704966934]",0.04444,99561.64233,0.99860,682.98520,"Substrat,Transitoire,Recyclé"
