Feature,P-value_linear,Pente_linear,R2_linear,F-statistic_linear,Confidence_interval_linear,P-value_quadratic,Pente_quadratic,R2_quadratic,F-statistic_quadratic,Confidence_interval_quadratic,P-value_cubic,Pente_cubic,R2_cubic,F-statistic_cubic,Type
M349T1541,0.77273,-2.46011,0.42573,2.56099,"[-19.582072155249215, 14.66184739434109]",0.11957,542.20448,0.46261,2.65423,"[-147.25649526863117, 1231.6654647927971]",0.00226,53522.13680,0.58667,3.93060,Recyclé
M351T1670,0.00000,9.77997,0.91121,35.45318,"[8.408262532953911, 11.151667897318662]",0.18001,-9.13434,0.91548,33.39629,"[-22.67774163828461, 4.409055061549534]",0.02580,-150.21713,0.92652,34.91561,Produit
M351T1442,0.00000,4.99597,0.93585,50.39671,"[4.414880262699977, 5.577051007876077]",0.00000,-6.80138,0.97926,145.57477,"[-8.367430383526816, -5.235336169109753]",0.00006,12.41068,0.98682,207.40784,"Produit,Recyclé"
M351T1172,0.04234,-4.54289,0.48434,3.24478,"[-8.92036829102792, -0.16541225768387857]",0.02115,41.28039,0.55419,3.83296,"[6.541368783131837, 76.0194117405392]",0.85762,-33.27304,0.55460,3.44813,"Substrat,Transitoire"
M352T1541,0.42941,-6.46580,0.43395,2.64839,"[-22.853575949301305, 9.921978237321841]",0.08779,714.11338,0.47738,2.81648,"[-111.04295914251645, 1539.2697153237928]",0.00065,49050.03334,0.62341,4.58426,Recyclé
M352T1442,0.00000,19.94130,0.72885,9.28590,"[13.760621355272363, 26.121986188428018]",0.94488,4.12123,0.72889,8.28956,"[-115.8476676361696, 124.09012416577497]",0.02496,-2456.05551,0.76467,8.99837,Produit
M352T2292,0.00000,18.25646,0.69538,7.88610,"[11.899271728665457, 24.613650301910045]",0.91503,-5.38619,0.69548,7.04185,"[-106.97028537789615, 96.19790137299398]",0.00062,-2914.36356,0.78108,9.88048,Produit
M353T1169,0.00053,-0.13666,0.58217,4.81322,"[-0.2097144252061992, -0.06361421469623922]",0.01582,0.01839,0.64377,5.57206,"[0.003659727165792508, 0.033129439861389144]",0.30209,0.00208,0.65429,5.24112,"Substrat,Transitoire"
M353T1476,0.00047,-1.49728,0.58440,4.85759,"[-2.289889970854443, -0.7046758798007468]",0.02080,1.49875,0.64098,5.50482,"[0.24117470120733775, 2.7563268890500963]",0.97137,0.05885,0.64099,4.94432,"Substrat,Transitoire"
M353T1242,0.00011,0.92341,0.61329,5.47865,"[0.4894552354200272, 1.3573552371384079]",0.00009,-0.34360,0.74599,9.05530,"[-0.5019587106275734, -0.18524984333574213]",0.01461,0.18254,0.78525,10.12616,"Produit,Recyclé"
M353T2402,0.00000,2.71225,0.85517,20.39772,"[2.1957533299284044, 3.228744499535229]",0.01402,-1.17469,0.87724,22.03313,"[-2.097545118206658, -0.2518249308795012]",0.39458,-0.90204,0.87972,20.25382,Produit
M354T1169,0.00030,-0.89664,0.59362,5.04623,"[-1.353013937473028, -0.4402577613681639]",0.02687,0.66041,0.64465,5.59363,"[0.0799221390431234, 1.240894867602786]",0.34957,0.42796,0.65330,5.21825,"Substrat,Transitoire"
M354T1476,0.00670,-7.61008,0.52688,3.84706,"[-12.981241673837623, -2.2389165863912783]",0.34641,34.47286,0.53823,3.59389,"[-38.763812136083615, 107.70954205560692]",0.14714,929.74784,0.56477,3.59346,Substrat
M354T2402,0.00000,12.54703,0.71807,8.79866,"[8.50944122263704, 16.58462527706573]",0.38751,-22.63768,0.72378,8.07921,"[-75.09165865544833, 29.8162929875398]",0.00556,-840.09786,0.77754,9.67920,Produit
M355T1913,0.00003,24.51495,0.63869,6.10659,"[14.05990003816903, 34.96999246493438]",0.95021,8.69705,0.63873,5.45132,"[-271.59379879181444, 288.9878895726527]",0.08036,-7686.03985,0.66854,5.58532,Produit
