Feature,P-value_linear,Pente_linear,R2_linear,F-statistic_linear,Confidence_interval_linear,P-value_quadratic,Pente_quadratic,R2_quadratic,F-statistic_quadratic,Confidence_interval_quadratic,P-value_cubic,Pente_cubic,R2_cubic,F-statistic_cubic,Type
M593T1001,0.00056,0.45163,0.99994,17555.46827,"[0.2154208271473891, 0.687832948404783]",0.16168,6.46659,0.99994,17522.75584,"[-2.7684778032081585, 15.701663265112872]",0.60387,-52.51859,0.99994,16334.99527,Produit
M594T792,0.18230,0.26230,0.99990,11807.85951,"[-0.13115687877120208, 0.6557509408369196]",0.03186,-8.50389,0.99992,13129.94830,"[-16.208327397013463, -0.7994504661450588]",0.41843,-125.24353,0.99992,12442.36023,Non classé
M594T1395,0.09748,0.17719,0.99991,12264.28880,"[-0.03467655132393782, 0.3890549178956099]",0.04237,-2.77931,0.99992,13370.02928,"[-5.455144706590218, -0.10346881902532656]",0.23650,-25.70970,0.99993,13078.72626,Non classé
M595T1406,0.81034,0.03848,0.99990,11037.32973,"[-0.2878010878596185, 0.36476911466139433]",0.02436,-4.56911,0.99992,12507.18776,"[-8.495898532500808, -0.6423179160167378]",0.66542,-18.98267,0.99992,11618.69969,Non classé
M595T916,0.31230,0.13109,0.99990,11462.19577,"[-0.13041595346595775, 0.3926002594147791]",0.44753,1.98752,0.99990,10813.73679,"[-3.31690811113564, 7.291954400300235]",0.11870,-109.76514,0.99991,11053.30370,Non classé
M597T2735,0.04426,-0.20706,0.99991,12905.61129,"[-0.408383520492291, -0.005733333384900119]",0.23186,-0.80910,0.99992,12606.48996,"[-2.1690231918277503, 0.5508169598748489]",0.13327,8.81181,0.99992,12787.29808,Substrat
M597T1385,0.01367,-0.09498,0.99992,13976.14899,"[-0.16878606666498483, -0.021169604882148058]",0.55780,0.11109,0.99992,13060.48476,"[-0.2740292016024218, 0.4962022613804183]",0.03123,-1.46698,0.99993,14662.55492,Substrat
M598T2736,0.08594,-0.32695,0.99991,12362.06247,"[-0.7034667510405519, 0.049559055376454664]",0.57681,-1.19922,0.99991,11537.02169,"[-5.567159968231987, 3.1687291956470154]",0.07647,78.61513,0.99992,12151.06792,Non classé
M599T2483,0.21891,-0.11623,0.99990,11684.78111,"[-0.3058599309260829, 0.07340481029548462]",0.02087,3.10572,0.99992,13386.66798,"[0.5119536122367045, 5.699479976294958]",0.67908,-23.60223,0.99992,12427.32361,Transitoire
M599T1410,0.10036,0.05377,0.99991,12242.02322,"[-0.01110248903125198, 0.11864257639732996]",0.00040,-0.12117,0.99994,18814.03243,"[-0.18224749423966902, -0.06009085408256397]",0.95810,0.00684,0.99994,17341.04863,Non classé
