Feature,P-value_linear,Pente_linear,R2_linear,F-statistic_linear,Confidence_interval_linear,P-value_quadratic,Pente_quadratic,R2_quadratic,F-statistic_quadratic,Confidence_interval_quadratic,P-value_cubic,Pente_cubic,R2_cubic,F-statistic_cubic,Type
M653T2886,0.46461,0.00000,0.87622,8.00189,"[-5.1275984846059105e-06, 1.0923313142277328e-05]",0.03807,-0.00000,0.89614,8.98789,"[-5.6521894044826314e-09, -1.7347283599057953e-10]",0.26595,0.00000,0.90147,8.78287,Non classé
M657T2886,0.02532,0.00001,0.95063,21.76455,"[1.0403346875949527e-06, 1.4513432927245673e-05]",0.02743,-0.00000,0.95951,24.68515,"[-4.858512830418716e-09, -3.120485424826727e-10]",0.66115,0.00000,0.95984,22.94443,Produit
M658T2888,0.87284,0.00000,0.86608,7.31043,"[-5.740906777494682e-06, 6.72081171779014e-06]",0.40936,-0.00000,0.86974,6.95544,"[-3.222769107505693e-09, 1.356902779628126e-09]",0.90887,0.00000,0.86982,6.41424,Non classé
M658T1045,0.00428,-0.00014,0.54072,1.33091,"[-0.00022744939651774738, -4.712527895268294e-05]",0.00009,0.00000,0.75507,3.21127,"[3.1187341859701205e-08, 8.025832448827603e-08]",0.26622,0.00000,0.76762,3.17112,"Substrat,Transitoire"
M658T1360,0.06866,-0.00001,0.73148,3.07936,"[-1.7037349529532284e-05, 6.726295806648551e-07]",0.00088,0.00000,0.82900,5.04982,"[2.194408825885113e-09, 7.460834545606476e-09]",0.71349,0.00000,0.82997,4.68621,Transitoire
M659T1171,0.48052,-0.00001,0.70570,2.71062,"[-2.0062718256516914e-05, 9.699330946641697e-06]",0.59150,0.00000,0.70914,2.53961,"[-4.057582857322026e-09, 6.967919196985315e-09]",0.93586,0.00000,0.70922,2.34141,Non classé
M659T1044,0.00798,-0.00004,0.51165,1.18438,"[-6.254056001244449e-05, -1.0380395821354167e-05]",0.00003,0.00000,0.75879,3.27681,"[9.954026482777155e-09, 2.361434739035437e-08]",0.42687,0.00000,0.76518,3.12825,"Substrat,Transitoire"
M660T1044,0.01272,-0.00001,0.65852,2.17994,"[-2.5154365052306218e-05, -3.298891729178657e-06]",0.00019,0.00000,0.80666,4.34598,"[3.447245391961573e-09, 9.575379360332876e-09]",0.78131,0.00000,0.80729,4.02156,"Substrat,Transitoire"
M661T1410,0.00063,-0.00002,0.83934,5.90590,"[-2.4722630760057878e-05, -7.6166326739492625e-06]",0.02560,0.00000,0.86889,6.90354,"[4.3929797474826257e-10, 6.197651646087866e-09]",0.94832,-0.00000,0.86892,6.36361,"Substrat,Transitoire"
M662T1411,0.00029,-0.00002,0.83215,5.60421,"[-2.8753082478899437e-05, -9.81710051603301e-06]",0.00066,0.00000,0.89537,8.91420,"[2.4713358601720726e-09, 8.042357755078746e-09]",0.48248,-0.00000,0.89754,8.40989,"Substrat,Transitoire"
M663T1435,0.74307,0.00000,0.79743,4.45010,"[-8.221828941720624e-06, 1.1381488720767987e-05]",0.01682,-0.00000,0.83956,5.45074,"[-7.2941773977501756e-09, -7.9297368664419e-10]",0.87514,-0.00000,0.83972,5.02969,Non classé
M663T1199,0.41197,0.00003,0.73949,3.20886,"[-4.274149489857407e-05, 0.00010108586637783852]",0.02227,-0.00000,0.78949,3.90665,"[-5.259142563430461e-08, -4.413124227590432e-09]",0.42336,0.00000,0.79515,3.72643,Non classé
